Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
04/10/2023 20:45:00;//////;   588;; 156.8;/////; 996.9;/////;13.1;     0
04/10/2023 20:30:00;//////;   588;; 156.8;/////; 996.9;/////;13.1;     0
04/10/2023 20:15:00;//////;   588;; 156.8;/////; 996.9;/////;13.1;     0
04/10/2023 20:00:00;//////;   588;; 156.8;/////; 996.9;/////;13.1;     0
04/10/2023 19:45:00;//////;   588;; 156.8;/////; 995.2;/////;13.2;     0
04/10/2023 19:30:00;//////;   588;; 156.8;/////; 995.2;/////;13.2;     0
04/10/2023 19:15:00;//////;   588;; 156.8;/////; 995.2;/////;13.2;     0
04/10/2023 19:00:00;//////;   588;; 156.8;/////; 995.2;/////;13.2;     0
04/10/2023 18:45:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 18:30:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 18:15:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 18:00:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 17:45:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 17:30:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 17:15:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 17:00:00;//////;-99999;; 156.8;/////; 993.8;/////;13.2;     0
04/10/2023 16:45:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
04/10/2023 16:30:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
04/10/2023 16:15:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
04/10/2023 16:00:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
04/10/2023 15:45:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
04/10/2023 15:30:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
04/10/2023 15:15:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
04/10/2023 15:00:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
04/10/2023 14:45:00;//////;-99999;; 156.8;/////; 997.4;/////;13.3;     0
04/10/2023 14:30:00;//////;-99999;; 156.8;/////; 997.4;/////;13.3;     0
04/10/2023 14:15:00;//////;-99999;; 156.8;/////; 997.4;/////;13.3;     0
04/10/2023 14:00:00;//////;-99999;; 156.8;/////; 997.4;/////;13.3;     0
04/10/2023 13:45:00;//////;-99999;; 156.8;/////; 998.5;/////;13.3;     0
04/10/2023 13:30:00;//////;-99999;; 156.8;/////; 998.5;/////;13.3;     0
04/10/2023 13:15:00;//////;-99999;; 156.8;/////; 998.5;/////;13.3;     0
04/10/2023 13:00:00;//////;-99999;; 156.8;/////; 998.5;/////;13.3;     0
04/10/2023 12:45:00;//////;   588;; 156.8;/////; 999.1;/////;13.4;     0
04/10/2023 12:30:00;//////;   588;; 156.8;/////; 999.1;/////;13.4;     0
04/10/2023 12:15:00;//////;   588;; 156.8;/////; 999.1;/////;13.4;     0
04/10/2023 12:00:00;//////;   588;; 156.8;/////; 999.1;/////;13.4;     0
04/10/2023 11:45:00;//////;   588;; 156.8;/////; 999.5;/////;13.8;     0
04/10/2023 11:30:00;//////;   588;; 156.8;/////; 999.5;/////;13.8;     0
04/10/2023 11:15:00;//////;   588;; 156.8;/////; 999.5;/////;13.8;     0
04/10/2023 11:00:00;//////;   588;; 156.8;/////; 999.5;/////;13.8;     0
04/10/2023 10:45:00;//////;-99999;; 156.8;/////; 999.1;/////;14.0;     0
04/10/2023 10:30:00;//////;-99999;; 156.8;/////; 999.1;/////;14.0;     0
04/10/2023 10:15:00;//////;-99999;; 156.8;/////; 999.1;/////;14.0;     0
04/10/2023 10:00:00;//////;-99999;; 156.8;/////; 999.1;/////;14.0;     0
04/10/2023 09:45:00;//////;-99999;; 156.8;/////; 998.6;/////;13.5;     0
04/10/2023 09:30:00;//////;-99999;; 156.8;/////; 998.6;/////;13.5;     0
04/10/2023 09:15:00;//////;-99999;; 156.8;/////; 998.6;/////;13.5;     0
04/10/2023 09:00:00;//////;-99999;; 156.8;/////; 998.6;/////;13.5;     0
04/10/2023 08:45:00;//////;-99999;; 156.8;/////; 997.8;/////;12.8;     0
04/10/2023 08:30:00;//////;-99999;; 156.8;/////; 997.8;/////;12.8;     0
04/10/2023 08:15:00;//////;-99999;; 156.8;/////; 997.8;/////;12.8;     0
04/10/2023 08:00:00;//////;-99999;; 156.8;/////; 997.8;/////;12.8;     0
04/10/2023 07:45:00;//////;-99999;; 156.8;/////; 996.5;/////;12.8;     0
04/10/2023 07:30:00;//////;-99999;; 156.8;/////; 996.5;/////;12.8;     0
04/10/2023 07:15:00;//////;-99999;; 156.8;/////; 996.5;/////;12.8;     0
04/10/2023 07:00:00;//////;-99999;; 156.8;/////; 996.5;/////;12.8;     0
04/10/2023 06:45:00;//////;-99999;; 156.8;/////; 995.8;/////;12.9;     0
04/10/2023 06:30:00;//////;-99999;; 156.8;/////; 995.8;/////;12.9;     0
04/10/2023 06:15:00;//////;-99999;; 156.8;/////; 995.8;/////;12.9;     0
04/10/2023 06:00:00;//////;-99999;; 156.8;/////; 995.8;/////;12.9;     0
04/10/2023 05:45:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 05:30:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 05:15:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 05:00:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 04:45:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 04:30:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 04:15:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 04:00:00;//////;-99999;; 156.8;/////; 995.1;/////;12.9;     0
04/10/2023 03:45:00;//////;-99999;; 156.8;/////; 995.4;/////;12.9;     0
04/10/2023 03:30:00;//////;-99999;; 156.8;/////; 995.4;/////;12.9;     0
04/10/2023 03:15:00;//////;-99999;; 156.8;/////; 995.4;/////;12.9;     0
04/10/2023 03:00:00;//////;-99999;; 156.8;/////; 995.4;/////;12.9;     0
04/10/2023 02:45:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
04/10/2023 02:30:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
04/10/2023 02:15:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
04/10/2023 02:00:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
04/10/2023 01:45:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
04/10/2023 01:30:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
04/10/2023 01:15:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
04/10/2023 01:00:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
04/10/2023 00:45:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
04/10/2023 00:30:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
04/10/2023 00:15:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
04/10/2023 00:00:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
03/10/2023 23:45:00;//////;-99999;; 156.8;/////; 996.2;/////;13.0;     0
03/10/2023 23:30:00;//////;-99999;; 156.8;/////; 996.2;/////;13.0;     0
03/10/2023 23:15:00;//////;-99999;; 156.8;/////; 996.2;/////;13.0;     0
03/10/2023 23:00:00;//////;-99999;; 156.8;/////; 996.2;/////;13.0;     0
03/10/2023 21:45:00;//////;-99999;; 156.8;/////; 994.3;/////;13.0;     0
03/10/2023 21:30:00;//////;-99999;; 156.8;/////; 994.3;/////;13.0;     0
03/10/2023 21:15:00;//////;-99999;; 156.8;/////; 994.3;/////;13.0;     0
03/10/2023 21:00:00;//////;-99999;; 156.8;/////; 994.3;/////;13.0;     0
03/10/2023 20:45:00;//////;   590;; 156.8;/////; 993.8;/////;13.1;     0
03/10/2023 20:30:00;//////;   590;; 156.8;/////; 993.8;/////;13.1;     0
03/10/2023 20:15:00;//////;   590;; 156.8;/////; 993.8;/////;13.1;     0
03/10/2023 20:00:00;//////;   590;; 156.8;/////; 993.8;/////;13.1;     0
03/10/2023 19:45:00;//////;   590;; 156.8;/////; 993.4;/////;13.1;     0
03/10/2023 19:30:00;//////;   590;; 156.8;/////; 993.4;/////;13.1;     0
03/10/2023 19:15:00;//////;   590;; 156.8;/////; 993.4;/////;13.1;     0
03/10/2023 19:00:00;//////;   590;; 156.8;/////; 993.4;/////;13.1;     0
03/10/2023 18:45:00;//////;-99999;; 156.8;/////; 993.3;/////;13.2;     0
03/10/2023 18:30:00;//////;-99999;; 156.8;/////; 993.3;/////;13.2;     0
03/10/2023 18:15:00;//////;-99999;; 156.8;/////; 993.3;/////;13.2;     0
03/10/2023 18:00:00;//////;-99999;; 156.8;/////; 993.3;/////;13.2;     0
03/10/2023 17:45:00;//////;-99999;; 156.8;/////; 993.9;/////;13.2;     0
03/10/2023 17:30:00;//////;-99999;; 156.8;/////; 993.9;/////;13.2;     0
03/10/2023 17:15:00;//////;-99999;; 156.8;/////; 993.9;/////;13.2;     0
03/10/2023 17:00:00;//////;-99999;; 156.8;/////; 993.9;/////;13.2;     0
03/10/2023 16:45:00;//////;-99999;; 156.8;/////; 994.4;/////;13.2;     0
03/10/2023 16:30:00;//////;-99999;; 156.8;/////; 994.4;/////;13.2;     0
03/10/2023 16:15:00;//////;-99999;; 156.8;/////; 994.4;/////;13.2;     0
03/10/2023 16:00:00;//////;-99999;; 156.8;/////; 994.4;/////;13.2;     0
03/10/2023 15:45:00;//////;-99999;; 156.8;/////; 995.6;/////;13.3;     0
03/10/2023 15:30:00;//////;-99999;; 156.8;/////; 995.6;/////;13.3;     0
03/10/2023 15:15:00;//////;-99999;; 156.8;/////; 995.6;/////;13.3;     0
03/10/2023 15:00:00;//////;-99999;; 156.8;/////; 995.6;/////;13.3;     0
03/10/2023 14:45:00;//////;-99999;; 156.8;/////; 997.1;/////;13.3;     0
03/10/2023 14:30:00;//////;-99999;; 156.8;/////; 997.1;/////;13.3;     0
03/10/2023 14:15:00;//////;-99999;; 156.8;/////; 997.1;/////;13.3;     0
03/10/2023 14:00:00;//////;-99999;; 156.8;/////; 997.1;/////;13.3;     0
03/10/2023 13:45:00;//////;-99999;; 156.8;/////; 998.3;/////;13.4;     0
03/10/2023 13:30:00;//////;-99999;; 156.8;/////; 998.3;/////;13.4;     0
03/10/2023 13:15:00;//////;-99999;; 156.8;/////; 998.3;/////;13.4;     0
03/10/2023 13:00:00;//////;-99999;; 156.8;/////; 998.3;/////;13.4;     0
03/10/2023 12:45:00;//////;-99999;; 156.8;/////; 998.9;/////;13.4;     0
03/10/2023 12:30:00;//////;-99999;; 156.8;/////; 998.9;/////;13.4;     0
03/10/2023 12:15:00;//////;-99999;; 156.8;/////; 998.9;/////;13.4;     0
03/10/2023 12:00:00;//////;-99999;; 156.8;/////; 998.9;/////;13.4;     0
03/10/2023 11:45:00;//////;-99999;; 156.8;/////; 999.1;/////;13.7;     0
03/10/2023 11:30:00;//////;-99999;; 156.8;/////; 999.1;/////;13.7;     0
03/10/2023 11:15:00;//////;-99999;; 156.8;/////; 999.1;/////;13.7;     0
03/10/2023 11:00:00;//////;-99999;; 156.8;/////; 999.1;/////;13.7;     0
03/10/2023 10:45:00;//////;   592;; 156.8;/////; 999.3;/////;14.0;     0
03/10/2023 10:30:00;//////;   592;; 156.8;/////; 999.3;/////;14.0;     0
03/10/2023 10:15:00;//////;   592;; 156.8;/////; 999.3;/////;14.0;     0
03/10/2023 10:00:00;//////;   592;; 156.8;/////; 999.3;/////;14.0;     0
03/10/2023 09:45:00;//////;   592;; 156.8;/////; 998.6;/////;13.8;     0
03/10/2023 09:30:00;//////;   592;; 156.8;/////; 998.6;/////;13.8;     0
03/10/2023 09:15:00;//////;   592;; 156.8;/////; 998.6;/////;13.8;     0
03/10/2023 09:00:00;//////;   592;; 156.8;/////; 998.6;/////;13.8;     0
03/10/2023 08:45:00;//////;-99999;; 156.8;/////; 997.4;/////;12.9;     0
03/10/2023 08:30:00;//////;-99999;; 156.8;/////; 997.4;/////;12.9;     0
03/10/2023 08:15:00;//////;-99999;; 156.8;/////; 997.4;/////;12.9;     0
03/10/2023 08:00:00;//////;-99999;; 156.8;/////; 997.4;/////;12.9;     0
03/10/2023 07:45:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
03/10/2023 07:30:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
03/10/2023 07:15:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
03/10/2023 07:00:00;//////;-99999;; 156.8;/////; 996.6;/////;12.9;     0
03/10/2023 06:45:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 06:30:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 06:15:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 06:00:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 05:45:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
03/10/2023 05:30:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
03/10/2023 05:15:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
03/10/2023 05:00:00;//////;-99999;; 156.8;/////; 996.0;/////;12.9;     0
03/10/2023 04:45:00;//////;-99999;; 156.8;/////; 996.3;/////;12.9;     0
03/10/2023 04:30:00;//////;-99999;; 156.8;/////; 996.3;/////;12.9;     0
03/10/2023 04:15:00;//////;-99999;; 156.8;/////; 996.3;/////;12.9;     0
03/10/2023 04:00:00;//////;-99999;; 156.8;/////; 996.3;/////;12.9;     0
03/10/2023 03:45:00;//////;-99999;; 156.8;/////; 995.7;/////;12.9;     0
03/10/2023 03:30:00;//////;-99999;; 156.8;/////; 995.7;/////;12.9;     0
03/10/2023 03:15:00;//////;-99999;; 156.8;/////; 995.7;/////;12.9;     0
03/10/2023 03:00:00;//////;-99999;; 156.8;/////; 995.7;/////;12.9;     0
03/10/2023 02:45:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 02:30:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 02:15:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 02:00:00;//////;-99999;; 156.8;/////; 996.2;/////;12.9;     0
03/10/2023 01:45:00;//////;-99999;; 156.8;/////; 996.8;/////;13.0;     0
03/10/2023 01:30:00;//////;-99999;; 156.8;/////; 996.8;/////;13.0;     0
03/10/2023 01:15:00;//////;-99999;; 156.8;/////; 996.8;/////;13.0;     0
03/10/2023 01:00:00;//////;-99999;; 156.8;/////; 996.8;/////;13.0;     0
03/10/2023 00:45:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
03/10/2023 00:30:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
03/10/2023 00:15:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
03/10/2023 00:00:00;//////;-99999;; 156.8;/////; 996.9;/////;13.0;     0
02/10/2023 22:45:00;//////;-99999;; 156.8;/////; 995.6;/////;13.0;     0
02/10/2023 22:30:00;//////;-99999;; 156.8;/////; 995.6;/////;13.0;     0
02/10/2023 22:15:00;//////;-99999;; 156.8;/////; 995.6;/////;13.0;     0
02/10/2023 22:00:00;//////;-99999;; 156.8;/////; 995.6;/////;13.0;     0
02/10/2023 21:45:00;//////;-99999;; 156.8;/////; 994.8;/////;13.0;     0
02/10/2023 21:30:00;//////;-99999;; 156.8;/////; 994.8;/////;13.0;     0
02/10/2023 21:15:00;//////;-99999;; 156.8;/////; 994.8;/////;13.0;     0
02/10/2023 21:00:00;//////;-99999;; 156.8;/////; 994.8;/////;13.0;     0
02/10/2023 20:45:00;//////;   595;; 156.8;/////; 994.2;/////;13.1;     0
02/10/2023 20:30:00;//////;   595;; 156.8;/////; 994.2;/////;13.1;     0
02/10/2023 20:15:00;//////;   595;; 156.8;/////; 994.2;/////;13.1;     0
02/10/2023 20:00:00;//////;   595;; 156.8;/////; 994.2;/////;13.1;     0
02/10/2023 19:45:00;//////;   595;; 156.8;/////; 993.9;/////;13.2;     0
02/10/2023 19:30:00;//////;   595;; 156.8;/////; 993.9;/////;13.2;     0
02/10/2023 19:15:00;//////;   595;; 156.8;/////; 993.9;/////;13.2;     0
02/10/2023 19:00:00;//////;   595;; 156.8;/////; 993.9;/////;13.2;     0
02/10/2023 18:45:00;//////;-99999;; 156.8;/////; 993.7;/////;13.3;     0
02/10/2023 18:30:00;//////;-99999;; 156.8;/////; 993.7;/////;13.3;     0
02/10/2023 18:15:00;//////;-99999;; 156.8;/////; 993.7;/////;13.3;     0
02/10/2023 18:00:00;//////;-99999;; 156.8;/////; 993.7;/////;13.3;     0
02/10/2023 17:45:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
02/10/2023 17:30:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
02/10/2023 17:15:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
02/10/2023 17:00:00;//////;-99999;; 156.8;/////; 994.4;/////;13.3;     0
02/10/2023 16:45:00;//////;-99999;; 156.8;/////; 995.2;/////;13.3;     0
02/10/2023 16:30:00;//////;-99999;; 156.8;/////; 995.2;/////;13.3;     0
02/10/2023 16:15:00;//////;-99999;; 156.8;/////; 995.2;/////;13.3;     0
02/10/2023 16:00:00;//////;-99999;; 156.8;/////; 995.2;/////;13.3;     0
02/10/2023 15:45:00;//////;-99999;; 156.8;/////; 996.4;/////;13.3;     0
02/10/2023 15:30:00;//////;-99999;; 156.8;/////; 996.4;/////;13.3;     0
02/10/2023 15:15:00;//////;-99999;; 156.8;/////; 996.4;/////;13.3;     0
02/10/2023 15:00:00;//////;-99999;; 156.8;/////; 996.4;/////;13.3;     0
02/10/2023 14:45:00;//////;-99999;; 156.8;/////; 997.5;/////;13.4;     0
02/10/2023 14:30:00;//////;-99999;; 156.8;/////; 997.5;/////;13.4;     0
02/10/2023 14:15:00;//////;-99999;; 156.8;/////; 997.5;/////;13.4;     0
02/10/2023 14:00:00;//////;-99999;; 156.8;/////; 997.5;/////;13.4;     0
02/10/2023 13:45:00;//////;-99999;; 156.8;/////; 998.7;/////;13.4;     0
02/10/2023 13:30:00;//////;-99999;; 156.8;/////; 998.7;/////;13.4;     0
02/10/2023 13:15:00;//////;-99999;; 156.8;/////; 998.7;/////;13.4;     0
02/10/2023 13:00:00;//////;-99999;; 156.8;/////; 998.7;/////;13.4;     0
02/10/2023 12:45:00;//////;-99999;; 156.8;/////; 999.5;/////;13.5;     0
02/10/2023 12:30:00;//////;-99999;; 156.8;/////; 999.5;/////;13.5;     0
02/10/2023 12:15:00;//////;-99999;; 156.8;/////; 999.5;/////;13.5;     0
02/10/2023 12:00:00;//////;-99999;; 156.8;/////; 999.5;/////;13.5;     0
02/10/2023 11:45:00;//////;-99999;; 156.8;/////;1000.0;/////;14.0;     0
02/10/2023 11:30:00;//////;-99999;; 156.8;/////;1000.0;/////;14.0;     0
02/10/2023 11:15:00;//////;-99999;; 156.8;/////;1000.0;/////;14.0;     0
02/10/2023 11:00:00;//////;-99999;; 156.8;/////;1000.0;/////;14.0;     0
02/10/2023 10:45:00;//////;   597;; 156.8;/////; 999.6;/////;14.0;     0
02/10/2023 10:30:00;//////;   597;; 156.8;/////; 999.6;/////;14.0;     0
02/10/2023 10:15:00;//////;   597;; 156.8;/////; 999.6;/////;14.0;     0
02/10/2023 10:00:00;//////;   597;; 156.8;/////; 999.6;/////;14.0;     0
02/10/2023 09:45:00;//////;   597;; 156.8;/////; 999.1;/////;13.8;     0
02/10/2023 09:30:00;//////;   597;; 156.8;/////; 999.1;/////;13.8;     0
02/10/2023 09:15:00;//////;   597;; 156.8;/////; 999.1;/////;13.8;     0
02/10/2023 09:00:00;//////;   597;; 156.8;/////; 999.1;/////;13.8;     0
02/10/2023 08:45:00;//////;-99999;; 156.8;/////; 998.4;/////;12.9;     0
02/10/2023 08:30:00;//////;-99999;; 156.8;/////; 998.4;/////;12.9;     0
02/10/2023 08:15:00;//////;-99999;; 156.8;/////; 998.4;/////;12.9;     0
02/10/2023 08:00:00;//////;-99999;; 156.8;/////; 998.4;/////;12.9;     0
02/10/2023 07:45:00;//////;-99999;; 156.8;/////; 997.6;/////;12.9;     0
02/10/2023 07:30:00;//////;-99999;; 156.8;/////; 997.6;/////;12.9;     0
02/10/2023 07:15:00;//////;-99999;; 156.8;/////; 997.6;/////;12.9;     0
02/10/2023 07:00:00;//////;-99999;; 156.8;/////; 997.6;/////;12.9;     0
02/10/2023 06:45:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 06:30:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 06:15:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 06:00:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 05:45:00;//////;-99999;; 156.8;/////; 996.9;/////;12.9;     0
02/10/2023 05:30:00;//////;-99999;; 156.8;/////; 996.9;/////;12.9;     0
02/10/2023 05:15:00;//////;-99999;; 156.8;/////; 996.9;/////;12.9;     0
02/10/2023 05:00:00;//////;-99999;; 156.8;/////; 996.9;/////;12.9;     0
02/10/2023 04:45:00;//////;-99999;; 156.8;/////; 996.8;/////;12.9;     0
02/10/2023 04:30:00;//////;-99999;; 156.8;/////; 996.8;/////;12.9;     0
02/10/2023 04:15:00;//////;-99999;; 156.8;/////; 996.8;/////;12.9;     0
02/10/2023 04:00:00;//////;-99999;; 156.8;/////; 996.8;/////;12.9;     0
02/10/2023 03:45:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 03:30:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 03:15:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 03:00:00;//////;-99999;; 156.8;/////; 997.3;/////;12.9;     0
02/10/2023 02:45:00;//////;-99999;; 156.8;/////; 998.1;/////;12.9;     0
02/10/2023 02:30:00;//////;-99999;; 156.8;/////; 998.1;/////;12.9;     0
02/10/2023 02:15:00;//////;-99999;; 156.8;/////; 998.1;/////;12.9;     0
02/10/2023 02:00:00;//////;-99999;; 156.8;/////; 998.1;/////;12.9;     0
02/10/2023 01:45:00;//////;-99999;; 156.8;/////; 998.8;/////;13.0;     0
02/10/2023 01:30:00;//////;-99999;; 156.8;/////; 998.8;/////;13.0;     0
02/10/2023 01:15:00;//////;-99999;; 156.8;/////; 998.8;/////;13.0;     0
02/10/2023 01:00:00;//////;-99999;; 156.8;/////; 998.8;/////;13.0;     0
02/10/2023 00:45:00;//////;-99999;; 156.8;/////; 999.1;/////;13.0;     0
02/10/2023 00:30:00;//////;-99999;; 156.8;/////; 999.1;/////;13.0;     0
02/10/2023 00:15:00;//////;-99999;; 156.8;/////; 999.1;/////;13.0;     0
02/10/2023 00:00:00;//////;-99999;; 156.8;/////; 999.1;/////;13.0;     0
01/10/2023 23:45:00;//////;-99999;; 156.8;/////; 998.7;/////;13.0;     0
01/10/2023 23:30:00;//////;-99999;; 156.8;/////; 998.7;/////;13.0;     0
01/10/2023 23:15:00;//////;-99999;; 156.8;/////; 998.7;/////;13.0;     0
01/10/2023 23:00:00;//////;-99999;; 156.8;/////; 998.7;/////;13.0;     0
01/10/2023 20:45:00;//////;   599;; 156.8;/////; 995.9;/////;13.1;     0
01/10/2023 20:30:00;//////;   599;; 156.8;/////; 995.9;/////;13.1;     0
01/10/2023 20:15:00;//////;   599;; 156.8;/////; 995.9;/////;13.1;     0
01/10/2023 20:00:00;//////;   599;; 156.8;/////; 995.9;/////;13.1;     0
01/10/2023 19:45:00;//////;   599;; 156.8;/////; 994.8;/////;13.1;     0
01/10/2023 19:30:00;//////;   599;; 156.8;/////; 994.8;/////;13.1;     0
01/10/2023 19:15:00;//////;   599;; 156.8;/////; 994.8;/////;13.1;     0
01/10/2023 19:00:00;//////;   599;; 156.8;/////; 994.8;/////;13.1;     0
01/10/2023 18:45:00;//////;-99999;; 156.8;/////; 994.6;/////;13.2;     0
01/10/2023 18:30:00;//////;-99999;; 156.8;/////; 994.6;/////;13.2;     0
01/10/2023 18:15:00;//////;-99999;; 156.8;/////; 994.6;/////;13.2;     0
01/10/2023 18:00:00;//////;-99999;; 156.8;/////; 994.6;/////;13.2;     0
01/10/2023 17:45:00;//////;-99999;; 156.8;/////; 995.1;/////;13.2;     0
01/10/2023 17:30:00;//////;-99999;; 156.8;/////; 995.1;/////;13.2;     0
01/10/2023 17:15:00;//////;-99999;; 156.8;/////; 995.1;/////;13.2;     0
01/10/2023 17:00:00;//////;-99999;; 156.8;/////; 995.1;/////;13.2;     0
01/10/2023 16:45:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
01/10/2023 16:30:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
01/10/2023 16:15:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
01/10/2023 16:00:00;//////;-99999;; 156.8;/////; 996.1;/////;13.3;     0
01/10/2023 15:45:00;//////;-99999;; 156.8;/////; 997.9;/////;13.3;     0
01/10/2023 15:30:00;//////;-99999;; 156.8;/////; 997.9;/////;13.3;     0
01/10/2023 15:15:00;//////;-99999;; 156.8;/////; 997.9;/////;13.3;     0
01/10/2023 15:00:00;//////;-99999;; 156.8;/////; 997.9;/////;13.3;     0
01/10/2023 14:45:00;//////;-99999;; 156.8;/////; 999.8;/////;13.4;     0
01/10/2023 14:30:00;//////;-99999;; 156.8;/////; 999.8;/////;13.4;     0
01/10/2023 14:15:00;//////;-99999;; 156.8;/////; 999.8;/////;13.4;     0
01/10/2023 14:00:00;//////;-99999;; 156.8;/////; 999.8;/////;13.4;     0
